SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,,
sift,PSEUDO_DAPG,10,24,80,200,110.277,0.804745,0.03023,0.40663,0.40663,0.47207,0.59978,0.976,70
sift,LIGA_COL,10,24,80,200,110.277,0.77513,0.03311,,,,,0.308,1970
sift,LSHAPG_BASE,10,24,80,200,123.593,,,0.35127,0.55509,0.55509,0.55509,0.977,110
SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
sift,DAPG,20,24,80,200,110.277,0.985565,0.101165,0.32221,0.42444,0.61841,0.84863,0.973,120
sift,PSEUDO_DAPG,20,24,80,200,110.277,0.894985,0.035865,0.28757,0.39781,0.51447,0.60266,0.974,100
sift,LIGA_COL,20,24,80,200,110.277,0.8673,0.028855,,,,,0.3,2000
sift,LSHAPG_BASE,20,24,80,200,123.593,,,0.38174,0.4343,0.62419,0.87345,0.9735,120
SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
sift,DAPG,50,24,80,200,110.277,0.912395,0.07971,0.47371,0.58764,0.90388,1.01706,0.973,170
sift,PSEUDO_DAPG,50,24,80,200,110.277,0.87451,0.03344,0.41404,0.41404,0.56274,0.77331,0.9756,130
sift,LIGA_COL,50,24,80,200,110.277,0.884525,0.02827,,,,,0.2946,2050
sift,LSHAPG_BASE,50,24,80,200,123.593,,,0.52926,0.57088,0.75742,1.00322,0.9732,170
SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
sift,DAPG,100,24,80,200,110.277,0.785995,0.08291,0.57698,0.57698,0.87053,1.25404,0.9721,280
sift,PSEUDO_DAPG,100,24,80,200,110.277,0.689665,0.030625,0.44868,0.44868,0.52368,0.59859,0.972,160
sift,LIGA_COL,100,24,80,200,110.277,0.64348,0.02202,,,,,0.2864,2100
sift,LSHAPG_BASE,100,24,80,200,123.593,,,0.55795,0.55795,0.80736,1.04461,0.9704,260
